trade_date,trade_id,trade_status,trade_type,asset_type,asset_name,receiving_team,giving_team,origin_owner,roster_a,roster_b
2025-11-16,1295662941210697728,complete,2-team,player,Saquon Barkley,jwalters74,cjsyregelas,,cjsyregelas,jwalters74
2025-11-16,1295662941210697728,complete,2-team,player,James Cook,cjsyregelas,jwalters74,,cjsyregelas,jwalters74
2025-11-12,1294350847387398144,complete,2-team,player,Jonathon Brooks,thekylecasey,jwalters74,,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,player,Terrance Ferguson,thekylecasey,jwalters74,,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,player,Luther Burden,thekylecasey,jwalters74,,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,player,Aaron Jones,jwalters74,thekylecasey,,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,player,George Pickens,jwalters74,thekylecasey,,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,pick,2027 Round 3,thekylecasey,jwalters74,thekylecasey,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,pick,2027 Round 3,thekylecasey,jwalters74,jwalters74,thekylecasey,jwalters74
2025-11-12,1294198173723557888,complete,2-team,player,DeAndre Hopkins,tylerpilgrim,gnewman4,,gnewman4,tylerpilgrim
2025-11-12,1294198173723557888,complete,2-team,player,Chuba Hubbard,gnewman4,tylerpilgrim,,gnewman4,tylerpilgrim
2025-11-12,1294198173723557888,complete,2-team,pick,2026 Round 3,tylerpilgrim,gnewman4,tylerpilgrim,gnewman4,tylerpilgrim
2025-11-12,1294189559839465472,complete,2-team,player,Bhayshul Tuten,wkerwin,lndahayo,,lndahayo,wkerwin
2025-11-12,1294189559839465472,complete,2-team,player,Juwan Johnson,lndahayo,wkerwin,,lndahayo,wkerwin
2025-11-12,1294189559839465472,complete,2-team,player,DeVonta Smith,lndahayo,wkerwin,,lndahayo,wkerwin
2025-11-12,1294189559839465472,complete,2-team,pick,2026 Round 1,wkerwin,lndahayo,lndahayo,lndahayo,wkerwin
2025-11-12,1294189559839465472,complete,2-team,pick,2026 Round 4,lndahayo,wkerwin,wkerwin,lndahayo,wkerwin
2025-11-12,1294189559839465472,complete,2-team,pick,2027 Round 4,lndahayo,wkerwin,wkerwin,lndahayo,wkerwin
2025-11-11,1294076505202098176,complete,2-team,player,Alvin Kamara,donewton,tylerpilgrim,,tylerpilgrim,donewton
2025-11-11,1294076505202098176,complete,2-team,player,Dontayvion Wicks,tylerpilgrim,donewton,,tylerpilgrim,donewton
2025-11-11,1294076505202098176,complete,2-team,pick,2026 Round 3,tylerpilgrim,donewton,mgaeta23,tylerpilgrim,donewton
2025-11-11,1294061216544587776,complete,2-team,player,Cooper Kupp,gnewman4,mgaeta23,,gnewman4,mgaeta23
2025-11-11,1294061216544587776,complete,2-team,player,Rico Dowdle,gnewman4,mgaeta23,,gnewman4,mgaeta23
2025-11-11,1294061216544587776,complete,2-team,player,Wan'Dale Robinson,mgaeta23,gnewman4,,gnewman4,mgaeta23
2025-11-11,1294061216544587776,complete,2-team,pick,2026 Round 2,mgaeta23,gnewman4,donewton,gnewman4,mgaeta23
2025-11-11,1294061216544587776,complete,2-team,pick,2027 Round 3,mgaeta23,gnewman4,donewton,gnewman4,mgaeta23
2025-11-11,1294061216544587776,complete,2-team,pick,2026 Round 4,gnewman4,mgaeta23,mgaeta23,gnewman4,mgaeta23
2025-11-10,1293486502654791680,complete,2-team,player,Geno Smith,zachlearningtogolf,gnewman4,,gnewman4,zachlearningtogolf
2025-11-10,1293486502654791680,complete,2-team,player,Justin Fields,gnewman4,zachlearningtogolf,,gnewman4,zachlearningtogolf
2025-11-10,1293486502654791680,complete,2-team,pick,2026 Round 2,zachlearningtogolf,gnewman4,gnewman4,gnewman4,zachlearningtogolf
2025-11-10,1293486502654791680,complete,2-team,pick,2026 Round 3,gnewman4,zachlearningtogolf,tylerpilgrim,gnewman4,zachlearningtogolf
2025-11-10,1293486502654791680,complete,2-team,faab,$1 FAAB,zachlearningtogolf,gnewman4,,gnewman4,zachlearningtogolf
2025-11-02,1290567058949427200,complete,2-team,player,Jonathon Brooks,jwalters74,tylerpilgrim,,jwalters74,tylerpilgrim
2025-11-02,1290567058949427200,complete,2-team,player,Alvin Kamara,tylerpilgrim,jwalters74,,jwalters74,tylerpilgrim
2025-11-02,1290567058949427200,complete,2-team,pick,2027 Round 3,jwalters74,tylerpilgrim,thekylecasey,jwalters74,tylerpilgrim
2025-11-01,1290362815730708480,complete,2-team,player,Cedric Tillman,thekylecasey,lndahayo,,lndahayo,thekylecasey
2025-11-01,1290362815730708480,complete,2-team,player,Tyrone Tracy,lndahayo,thekylecasey,,lndahayo,thekylecasey
2025-11-01,1290362815730708480,complete,2-team,player,Shedeur Sanders,thekylecasey,lndahayo,,lndahayo,thekylecasey
2025-11-01,1290362815730708480,complete,2-team,player,Kyle Monangai,lndahayo,thekylecasey,,lndahayo,thekylecasey
2025-11-01,1290362815730708480,complete,2-team,player,Chris Godwin,lndahayo,thekylecasey,,lndahayo,thekylecasey
2025-11-01,1290362815730708480,complete,2-team,pick,2027 Round 1,thekylecasey,lndahayo,lndahayo,lndahayo,thekylecasey
2025-10-26,1288261486111641600,complete,2-team,player,Rashee Rice,donewton,gnewman4,,gnewman4,donewton
2025-10-26,1288261486111641600,complete,2-team,player,Davante Adams,gnewman4,donewton,,gnewman4,donewton
2025-10-26,1288261486111641600,complete,2-team,player,Rashod Bateman,donewton,gnewman4,,gnewman4,donewton
2025-10-26,1288261486111641600,complete,2-team,player,Wan'Dale Robinson,gnewman4,donewton,,gnewman4,donewton
2025-10-26,1288261486111641600,complete,2-team,pick,2027 Round 1,gnewman4,donewton,donewton,gnewman4,donewton
2025-10-26,1288261486111641600,complete,2-team,pick,2028 Round 1,gnewman4,donewton,donewton,gnewman4,donewton
2025-10-23,1287157631126876160,complete,2-team,player,Pat Bryant,donewton,tylerpilgrim,,tylerpilgrim,donewton
2025-10-23,1287157631126876160,complete,2-team,player,Kayshon Boutte,tylerpilgrim,donewton,,tylerpilgrim,donewton
2025-10-23,1287157631126876160,complete,2-team,pick,2027 Round 4,donewton,tylerpilgrim,tylerpilgrim,tylerpilgrim,donewton
2025-10-23,1286931153982361600,complete,2-team,player,Dont'e Thornton,zachlearningtogolf,jwalters74,,zachlearningtogolf,jwalters74
2025-10-23,1286931153982361600,complete,2-team,player,Alvin Kamara,jwalters74,zachlearningtogolf,,zachlearningtogolf,jwalters74
2025-10-23,1286931153982361600,complete,2-team,pick,2026 Round 3,zachlearningtogolf,jwalters74,lndahayo,zachlearningtogolf,jwalters74
2025-10-22,1286819210667765760,complete,2-team,player,Travis Kelce,tylerpilgrim,thekylecasey,,thekylecasey,tylerpilgrim
2025-10-22,1286819210667765760,complete,2-team,player,Jerry Jeudy,thekylecasey,tylerpilgrim,,thekylecasey,tylerpilgrim
2025-10-22,1286819210667765760,complete,2-team,player,Justin Jefferson,tylerpilgrim,thekylecasey,,thekylecasey,tylerpilgrim
2025-10-22,1286819210667765760,complete,2-team,player,George Pickens,thekylecasey,tylerpilgrim,,thekylecasey,tylerpilgrim
2025-10-22,1286819210667765760,complete,2-team,player,Jordan Mason,tylerpilgrim,thekylecasey,,thekylecasey,tylerpilgrim
2025-10-22,1286819210667765760,complete,2-team,pick,2027 Round 3,tylerpilgrim,thekylecasey,thekylecasey,thekylecasey,tylerpilgrim
2025-10-22,1286819210667765760,complete,2-team,pick,2026 Round 1,thekylecasey,tylerpilgrim,tylerpilgrim,thekylecasey,tylerpilgrim
2025-10-22,1286819210667765760,complete,2-team,pick,2026 Round 2,thekylecasey,tylerpilgrim,tylerpilgrim,thekylecasey,tylerpilgrim
2025-10-22,1286819210667765760,complete,2-team,pick,2027 Round 1,thekylecasey,tylerpilgrim,tylerpilgrim,thekylecasey,tylerpilgrim
2025-10-21,1286504609589776384,complete,2-team,player,J.K. Dobbins,mgaeta23,jwalters74,,jwalters74,mgaeta23
2025-10-21,1286504609589776384,complete,2-team,player,Michael Pittman,jwalters74,mgaeta23,,jwalters74,mgaeta23
2025-10-21,1286504609589776384,complete,2-team,player,Isiah Pacheco,jwalters74,mgaeta23,,jwalters74,mgaeta23
2025-10-21,1286504609589776384,complete,2-team,player,Tyjae Spears,mgaeta23,jwalters74,,jwalters74,mgaeta23
2025-10-21,1286504609589776384,complete,2-team,pick,2026 Round 4,jwalters74,mgaeta23,lndahayo,jwalters74,mgaeta23
2025-10-21,1286504609589776384,complete,2-team,pick,2027 Round 3,mgaeta23,jwalters74,mgaeta23,jwalters74,mgaeta23
2025-10-11,1282804334102343680,complete,2-team,player,Trey Benson,zachlearningtogolf,jwalters74,,zachlearningtogolf,jwalters74
2025-10-11,1282804334102343680,complete,2-team,player,David Njoku,jwalters74,zachlearningtogolf,,zachlearningtogolf,jwalters74
2025-10-11,1282804334102343680,complete,2-team,player,Tee Higgins,zachlearningtogolf,jwalters74,,zachlearningtogolf,jwalters74
2025-10-11,1282804334102343680,complete,2-team,player,James Cook,jwalters74,zachlearningtogolf,,zachlearningtogolf,jwalters74
2025-10-11,1282804334102343680,complete,2-team,pick,2026 Round 3,zachlearningtogolf,jwalters74,cjsyregelas,zachlearningtogolf,jwalters74
2025-10-11,1282804334102343680,complete,2-team,pick,2026 Round 2,zachlearningtogolf,jwalters74,jwalters74,zachlearningtogolf,jwalters74
2025-10-11,1282804334102343680,complete,2-team,pick,2026 Round 3,zachlearningtogolf,jwalters74,tylerpilgrim,zachlearningtogolf,jwalters74
2025-10-10,1282507621953204224,complete,2-team,player,Kyle Williams,wkerwin,lndahayo,,lndahayo,wkerwin
2025-10-10,1282507621953204224,complete,2-team,pick,2026 Round 3,lndahayo,wkerwin,zachlearningtogolf,lndahayo,wkerwin
2025-10-07,1281385171571974144,complete,2-team,faab,$11 FAAB,tylerpilgrim,donewton,,tylerpilgrim,donewton
2025-10-07,1281334172710883328,complete,2-team,player,Theo Johnson,donewton,tylerpilgrim,,tylerpilgrim,donewton
2025-10-07,1281334172710883328,complete,2-team,player,Brenton Strange,tylerpilgrim,donewton,,tylerpilgrim,donewton
2025-10-01,1278946311571251200,complete,2-team,player,Trevor Etienne,zachlearningtogolf,lndahayo,,lndahayo,zachlearningtogolf
2025-10-01,1278946311571251200,complete,2-team,player,Matthew Stafford,lndahayo,zachlearningtogolf,,lndahayo,zachlearningtogolf
2025-10-01,1278946311571251200,complete,2-team,pick,2027 Round 4,lndahayo,zachlearningtogolf,lndahayo,lndahayo,zachlearningtogolf
2025-10-01,1278946311571251200,complete,2-team,pick,2026 Round 2,zachlearningtogolf,lndahayo,cjsyregelas,lndahayo,zachlearningtogolf
2025-10-01,1278942529986764800,complete,2-team,player,D'Andre Swift,lndahayo,jwalters74,,lndahayo,jwalters74
2025-10-01,1278942529986764800,complete,2-team,player,Brian Robinson,jwalters74,lndahayo,,lndahayo,jwalters74
2025-10-01,1278942529986764800,complete,2-team,pick,2026 Round 3,jwalters74,lndahayo,lndahayo,lndahayo,jwalters74
2025-10-01,1278916121231106048,complete,2-team,player,Quentin Johnston,gnewman4,tylerpilgrim,,gnewman4,tylerpilgrim
2025-10-01,1278916121231106048,complete,2-team,pick,2027 Round 1,tylerpilgrim,gnewman4,jwalters74,gnewman4,tylerpilgrim
2025-09-30,1278793259467935744,complete,2-team,player,Tyreek Hill,donewton,jwalters74,,jwalters74,donewton
2025-09-30,1278793259467935744,complete,2-team,pick,2026 Round 4,jwalters74,donewton,gnewman4,jwalters74,donewton
2025-09-30,1278609411799027712,complete,2-team,player,Keenan Allen,lndahayo,zachlearningtogolf,,lndahayo,zachlearningtogolf
2025-09-30,1278609411799027712,complete,2-team,pick,2026 Round 3,lndahayo,zachlearningtogolf,lndahayo,lndahayo,zachlearningtogolf
2025-09-30,1278609411799027712,complete,2-team,pick,2027 Round 4,zachlearningtogolf,lndahayo,lndahayo,lndahayo,zachlearningtogolf
2025-09-30,1278609411799027712,complete,2-team,pick,2026 Round 2,zachlearningtogolf,lndahayo,jakeduf,lndahayo,zachlearningtogolf
2025-09-30,1278590799092658176,complete,2-team,player,Mike Evans,jwalters74,zachlearningtogolf,,zachlearningtogolf,jwalters74
2025-09-30,1278590799092658176,complete,2-team,player,Matthew Stafford,zachlearningtogolf,jwalters74,,zachlearningtogolf,jwalters74
2025-09-30,1278590799092658176,complete,2-team,pick,2026 Round 3,zachlearningtogolf,jwalters74,jwalters74,zachlearningtogolf,jwalters74
2025-09-30,1278590799092658176,complete,2-team,faab,$19 FAAB,jwalters74,zachlearningtogolf,,zachlearningtogolf,jwalters74
2025-09-26,1277318767591825408,complete,2-team,faab,$2 FAAB,zachlearningtogolf,gnewman4,,gnewman4,zachlearningtogolf
2025-09-26,1277109098646605824,complete,2-team,player,Marcus Mariota,gnewman4,zachlearningtogolf,,gnewman4,zachlearningtogolf
2025-09-26,1277109098646605824,complete,2-team,faab,$20 FAAB,zachlearningtogolf,gnewman4,,gnewman4,zachlearningtogolf
2025-09-25,1276812030426251264,complete,2-team,player,MarShawn Lloyd,gnewman4,lndahayo,,lndahayo,gnewman4
2025-09-25,1276812030426251264,complete,2-team,player,Taysom Hill,lndahayo,gnewman4,,lndahayo,gnewman4
2025-09-25,1276812030426251264,complete,2-team,player,Noah Fant,lndahayo,gnewman4,,lndahayo,gnewman4
2025-09-23,1276246071017742336,complete,2-team,player,Wan'Dale Robinson,donewton,jakeduf,,jakeduf,donewton
2025-09-23,1276246071017742336,complete,2-team,pick,2027 Round 2,jakeduf,donewton,donewton,jakeduf,donewton
2025-09-16,1273767222258454528,complete,2-team,player,Kareem Hunt,mgaeta23,donewton,,mgaeta23,donewton
2025-09-16,1273767222258454528,complete,2-team,pick,2026 Round 4,donewton,mgaeta23,jakeduf,mgaeta23,donewton
2025-09-16,1273723036767371264,complete,2-team,player,David Montgomery,mgaeta23,jwalters74,,jwalters74,mgaeta23
2025-09-16,1273723036767371264,complete,2-team,player,Tony Pollard,jwalters74,mgaeta23,,jwalters74,mgaeta23
2025-09-16,1273723036767371264,complete,2-team,player,D'Andre Swift,jwalters74,mgaeta23,,jwalters74,mgaeta23
2025-09-16,1273723036767371264,complete,2-team,player,Tee Higgins,jwalters74,mgaeta23,,jwalters74,mgaeta23
2025-09-16,1273723036767371264,complete,2-team,player,Michael Pittman,mgaeta23,jwalters74,,jwalters74,mgaeta23
2025-09-16,1273723036767371264,complete,2-team,player,Isiah Pacheco,mgaeta23,jwalters74,,jwalters74,mgaeta23
2025-09-16,1273723036767371264,complete,2-team,player,Tyjae Spears,jwalters74,mgaeta23,,jwalters74,mgaeta23
2025-09-16,1273723036767371264,complete,2-team,pick,2027 Round 2,mgaeta23,jwalters74,lndahayo,jwalters74,mgaeta23
2025-09-16,1273723036767371264,complete,2-team,pick,2026 Round 1,mgaeta23,jwalters74,gnewman4,jwalters74,mgaeta23
2025-09-16,1273723036767371264,complete,2-team,pick,2027 Round 3,jwalters74,mgaeta23,mgaeta23,jwalters74,mgaeta23
2025-09-12,1272244641206398976,complete,2-team,player,Daniel Jones,zachlearningtogolf,wkerwin,,zachlearningtogolf,wkerwin
2025-09-12,1272244641206398976,complete,2-team,pick,2026 Round 2,wkerwin,zachlearningtogolf,zachlearningtogolf,zachlearningtogolf,wkerwin
2025-08-22,1264650342717472768,complete,2-team,player,TreVeyon Henderson,thekylecasey,zachlearningtogolf,,thekylecasey,zachlearningtogolf
2025-08-22,1264650342717472768,complete,2-team,player,De'Von Achane,zachlearningtogolf,thekylecasey,,thekylecasey,zachlearningtogolf
2025-08-21,1264067657422864384,complete,2-team,player,LeQuint Allen,tylerpilgrim,jwalters74,,jwalters74,tylerpilgrim
2025-08-21,1264067657422864384,complete,2-team,player,Joshua Palmer,jwalters74,tylerpilgrim,,jwalters74,tylerpilgrim
2025-08-21,1264067657422864384,complete,2-team,player,George Pickens,tylerpilgrim,jwalters74,,jwalters74,tylerpilgrim
2025-08-21,1264067657422864384,complete,2-team,player,Breece Hall,jwalters74,tylerpilgrim,,jwalters74,tylerpilgrim
2025-08-21,1264067657422864384,complete,2-team,pick,2026 Round 1,tylerpilgrim,jwalters74,cjsyregelas,jwalters74,tylerpilgrim
2025-08-09,1259713999834984449,complete,2-team,player,Shedeur Sanders,lndahayo,jwalters74,,lndahayo,jwalters74
2025-08-09,1259713999834984449,complete,2-team,pick,2026 Round 3,jwalters74,lndahayo,jwalters74,lndahayo,jwalters74
2025-08-07,1259296297278525440,complete,2-team,player,Will Howard,thekylecasey,zachlearningtogolf,,thekylecasey,zachlearningtogolf
2025-08-07,1259296297278525440,complete,2-team,pick,2026 Round 3,zachlearningtogolf,thekylecasey,thekylecasey,thekylecasey,zachlearningtogolf
2025-08-07,1259245972907622400,complete,2-team,player,Quinshon Judkins,lndahayo,jwalters74,,lndahayo,jwalters74
2025-08-07,1259245972907622400,complete,2-team,player,Tahj Brooks,jwalters74,lndahayo,,lndahayo,jwalters74
2025-08-07,1259245972907622400,complete,2-team,pick,2027 Round 2,jwalters74,lndahayo,lndahayo,lndahayo,jwalters74
2025-08-07,1259245972907622400,complete,2-team,pick,2026 Round 1,jwalters74,lndahayo,cjsyregelas,lndahayo,jwalters74
2025-08-07,1259245972907622400,complete,2-team,pick,2026 Round 3,lndahayo,jwalters74,jwalters74,lndahayo,jwalters74
2025-08-07,1259211370491023360,complete,2-team,player,Rome Odunze,lndahayo,cjsyregelas,,lndahayo,cjsyregelas
2025-08-07,1259211370491023360,complete,2-team,player,Nico Collins,cjsyregelas,lndahayo,,lndahayo,cjsyregelas
2025-08-07,1259211370491023360,complete,2-team,player,Brian Robinson,lndahayo,cjsyregelas,,lndahayo,cjsyregelas
2025-08-07,1259211370491023360,complete,2-team,pick,2026 Round 2,cjsyregelas,lndahayo,lndahayo,lndahayo,cjsyregelas
2025-08-07,1259211370491023360,complete,2-team,pick,2026 Round 1,lndahayo,cjsyregelas,cjsyregelas,lndahayo,cjsyregelas
2025-08-07,1259206111249039360,complete,2-team,player,Mike Evans,zachlearningtogolf,mgaeta23,,zachlearningtogolf,mgaeta23
2025-08-07,1259206111249039360,complete,2-team,player,David Njoku,zachlearningtogolf,mgaeta23,,zachlearningtogolf,mgaeta23
2025-08-07,1259206111249039360,complete,2-team,player,Alvin Kamara,zachlearningtogolf,mgaeta23,,zachlearningtogolf,mgaeta23
2025-08-07,1259206111249039360,complete,2-team,player,Christian Kirk,zachlearningtogolf,mgaeta23,,zachlearningtogolf,mgaeta23
2025-08-07,1259206111249039360,complete,2-team,player,Calvin Ridley,mgaeta23,zachlearningtogolf,,zachlearningtogolf,mgaeta23
2025-08-07,1259206111249039360,complete,2-team,player,Dallas Goedert,mgaeta23,zachlearningtogolf,,zachlearningtogolf,mgaeta23
2025-08-07,1259206111249039360,complete,2-team,player,Tony Pollard,mgaeta23,zachlearningtogolf,,zachlearningtogolf,mgaeta23
2025-08-07,1259206111249039360,complete,2-team,player,A.J. Dillon,zachlearningtogolf,mgaeta23,,zachlearningtogolf,mgaeta23
2025-08-07,1259206111249039360,complete,2-team,player,Noah Gray,mgaeta23,zachlearningtogolf,,zachlearningtogolf,mgaeta23
2025-08-07,1259206111249039360,complete,2-team,player,Tyjae Spears,mgaeta23,zachlearningtogolf,,zachlearningtogolf,mgaeta23
2025-08-07,1259206111249039360,complete,2-team,pick,2026 Round 4,mgaeta23,zachlearningtogolf,jakeduf,zachlearningtogolf,mgaeta23
2025-08-07,1259206111249039360,complete,2-team,pick,2027 Round 2,mgaeta23,zachlearningtogolf,zachlearningtogolf,zachlearningtogolf,mgaeta23
2025-07-31,1256714512900292608,complete,2-team,player,Keon Coleman,brevinowens,jakeduf,,brevinowens,jakeduf
2025-07-31,1256714512900292608,complete,2-team,player,T.J. Hockenson,jakeduf,brevinowens,,brevinowens,jakeduf
2025-07-31,1256714512900292608,complete,2-team,pick,2027 Round 2,brevinowens,jakeduf,jakeduf,brevinowens,jakeduf
2025-07-31,1256714512900292608,complete,2-team,pick,2026 Round 3,jakeduf,brevinowens,brevinowens,brevinowens,jakeduf
2025-07-16,1251046974694637568,complete,2-team,player,Marquise Brown,mgaeta23,donewton,,mgaeta23,donewton
2025-07-16,1251046974694637568,complete,2-team,pick,2026 Round 3,donewton,mgaeta23,mgaeta23,mgaeta23,donewton
2025-07-16,1251038903863881728,complete,2-team,player,Phil Mafah,donewton,zachlearningtogolf,,zachlearningtogolf,donewton
2025-07-16,1251038903863881728,complete,2-team,player,Javonte Williams,donewton,zachlearningtogolf,,zachlearningtogolf,donewton
2025-07-16,1251038903863881728,complete,2-team,pick,2026 Round 3,zachlearningtogolf,donewton,lndahayo,zachlearningtogolf,donewton
